title,brand,product,price,description,bottle_capacity,vg,pg,formulation,made_in,url
ORIGINAL BUBBLEGUM - BLVK BUBBA SALTS - 30ML,FIND BRAND,ORIGINAL BUBBLEGUM - BLVK BUBBA SALTS - 30ML,$10.99,"Shop Original Bubblegum by BLVK Bubba Salts, capturing the decadent flavor of rich bubblegum set into a nicotine salt with menthol to tantalize the taste buds.
ORIGINAL BUBBLEGUM - BLVK BUBBA SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/original-bubblegum-blvk-salts
MYSTERY AIR BALLOONS - CANDY KING SALTS - 30ML,CANDY KING,MYSTERY AIR BALLOONS - CANDY KING SALTS - 30ML,$10.99,"Discover Mystery Air Balloons by Candy King Salts, featuring a finely crafted nicotine salt blend flavored with sweet pleasant fruity notes to mystify the tongue.
MYSTERY AIR BALLOONS - CANDY KING SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/mystery-air-balloons-candy-king-salts
STRAWBERRY POP DROPS - CANDY KING SALTS - 30ML,CANDY KING,STRAWBERRY POP DROPS - CANDY KING SALTS - 30ML,$10.99,"Shop Strawberry Pop Drops by Candy King Salts, bringing notes of sweet strawberry flavor loaded into delicious popping candy that will excite the taste buds.
STRAWBERRY POP DROPS - CANDY KING SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/strawberry-pop-drops-candy-king-salts
COTTON CANDY - CANDY KING SALTS - 30ML,CANDY KING,COTTON CANDY - CANDY KING SALTS - 30ML,$10.99,"Shop Cotton Candy by Candy King Salts, mixing layers of sweetly spun cotton candy melted down into a delicious nicotine salt to captivate the taste buds.
COTTON CANDY - CANDY KING SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/cotton-candy-candy-king-salts
GUMMY BEARS - CANDY KING - 100ML,CANDY KING,GUMMY BEARS - CANDY KING - 100ML,$13.99,"Shop Gummy Bears by Candy King, finding the delectable flavor of fruity gummy bears in a new vapable form that will surely captivate the taste buds.
GUMMY BEARS - CANDY KING - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/gummy-bears-candy-king
MYSTERY AIR BALLOONS - CANDY KING - 100ML,CANDY KING,MYSTERY AIR BALLOONS - CANDY KING - 100ML,$13.99,"Discover Mystery Air Balloons by Candy King, captivating the taste buds mystery notes of sweet fruit that will keep you guessing after each tantalizing puff.
MYSTERY AIR BALLOONS - CANDY KING - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/mystery-air-balloons-candy-king
STRAWBERRY POP DROPS - CANDY KING - 100ML,CANDY KING,STRAWBERRY POP DROPS - CANDY KING - 100ML,$13.99,"Check out Strawberry Pop Drops by Candy King, featuring vibrant notes of strawberry popping candy made into a delectable fruity eJuice to dazzle the senses.
STRAWBERRY POP DROPS - CANDY KING - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/strawberry-pop-drops-candy-king
PIXIE DIP - NOMS 100 BY NOMENON - 100ML,FIND BRAND,PIXIE DIP - NOMS 100 BY NOMENON - 100ML,$13.99,"Enjoy Pixie Dip by Nomenon E-liquids, featuring a magical eJuice blend featuring the vibrant flavors of sweet sugary grape that is a recreation of the Purple Pixy Stix candy.
PIXIE DIP - NOMS 100 BY NOMENON - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 Pixie Dip - Noms 100 by Nomenon - 100mL
AVAILABLE OPTIONS:
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/pixie-dip-nomenon
BLACK CHERRY BLOW POP - BSX SALT SERIES - 30ML,FIND BRAND,BLACK CHERRY BLOW POP - BSX SALT SERIES - 30ML,$10.99,"Check out Black Cherry Blow Pop by BSX Salt Series, a nicotine salt eJuice featuring notes of sweet blow pop candy with the vibrant flavor of black cherry.
BLACK CHERRY BLOW POP - BSX SALT SERIES - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 30mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/black-cherry-blow-pop-bsx-salts
FREEZE SOUR FRUITY WORMS - POD JUICE - 100ML,POD JUICE,FREEZE SOUR FRUITY WORMS - POD JUICE - 100ML,$13.99,"Indulge in FREEZE Sour Fruity Worms by Pod Juice, featuring a delicious e-liquid that captures the essence of sour-coated gummy worms infused with a blast of refreshing menthol.
FREEZE SOUR FRUITY WORMS - POD JUICE - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 FREEZE Sour Fruity Worms - Pod Juice - 100mL
AVAILABLE OPTIONS:
• 0mg
• 12mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/freeze-sour-fruity-worms-pod-juice
