tag,title,display_type,color_display,touch_screen,curved_screen,battery_indicator,eliquid_indicator,smart_display,digital_display,hd_display,animated,backlit,link
vaporesso-xros-3,Vaporesso XROS 3,False,False,False,False,True,False,False,False,False,False,False,https://vaping.com/products/vaporesso-xros-3
smok-novo-2,SMOK Novo 2,False,False,False,False,True,False,False,False,False,False,False,https://vaping.com/products/smok-novo-2
flum-pebbles-sampler-pack,FLUM Pebble Vape Sampler Pack,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/flum-pebbles-sampler-pack
white-gummy-flum-pebble,White Gummy FLUM Pebble,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/white-gummy-flum-pebble
berry-cake-lost-mary-mo5000-glitter-edition,Berry Cake - LOST MARY MO5000 *GLITTER EDITION*,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/berry-cake-lost-mary-mo5000-glitter-edition
tropical-delight-funky-republic-fi3000-1,Tropical Delight Funky Republic Fi3000,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/tropical-delight-funky-republic-fi3000-1
grape-apple-lost-mary-mt15000-turbo,Grape Apple LOST MARY MT15000 TURBO,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/grape-apple-lost-mary-mt15000-turbo
cherry-lemon-lost-mary-mo5000,Cherry Lemon Lost Mary MO5000,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/cherry-lemon-lost-mary-mo5000
blue-razz-dragonfruit-lost-mary-mt15000-turbo,Blue Razz Dragonfruit LOST MARY MT15000 TURBO,False,False,False,False,True,True,False,False,False,False,False,https://vaping.com/products/blue-razz-dragonfruit-lost-mary-mt15000-turbo
nut-tobacco-eb-bc5000,Nut Tobacco EB BC5000,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/nut-tobacco-eb-bc5000
strawberry-tobacco-eb-bc5000,Strawberry Tobacco EB BC5000,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/strawberry-tobacco-eb-bc5000
strawberry-kiwi-elf-bar-5000,Strawberry Kiwi BC5000,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/strawberry-kiwi-elf-bar-5000
sour-grape-chew-ebcreate-bc5000-thermal-edition,Sour Grape Chew EBCREATE BC5000 Thermal Ed,False,False,False,False,True,False,False,False,False,False,False,https://vaping.com/products/sour-grape-chew-ebcreate-bc5000-thermal-edition
pro-pods-2pk,Pro Pods 2pk,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/pro-pods-2pk
strawberry-kiwi-iced-coastal-clouds-tfn-e-juice-60ml,Strawberry Kiwi Iced Coastal Clouds E-Juice,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/strawberry-kiwi-iced-coastal-clouds-tfn-e-juice-60ml
strawberry-kiwi-coastal-clouds-tfn-e-juice-60ml,Strawberry Kiwi Coastal Clouds E-Juice,False,False,False,False,False,False,False,False,False,False,False,https://vaping.com/products/strawberry-kiwi-coastal-clouds-tfn-e-juice-60ml
