tag,title,display_type,color_display,touch_screen,curved_screen,battery_indicator,eliquid_indicator,smart_display,digital_display,hd_display,animated,backlit,link
joyetech-exceed-edge-aio-starter-kit,Joyetech Exceed Edge Aio Starter Kit - 2ml E-liquid Capacity,False,False,False,False,True,True,False,False,False,False,False,https://perfectvape.com/joyetech-exceed-edge-aio-starter-kit/
smoktech-rolo-badge-pods-3pk,Smoktech Rolo Badge Pods 3pk,True,False,False,False,True,True,False,False,False,False,False,https://perfectvape.com/smoktech-rolo-badge-pods-3pk/
aspire-revvo-tank,Aspire Revvo Sub-Ohm Tank,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/aspire-revvo-tank/
ijoy-capo-100w-squonker-kit-20700,IJOY CAPO 100W Squonker Kit 20700 - 9ml - 200W,False,False,False,False,True,False,False,False,False,False,False,https://perfectvape.com/ijoy-capo-100w-squonker-kit-20700/
smoktech-procolor-mod-only,Smoktech ProColor Mod Only,True,True,False,False,False,False,False,False,True,False,False,https://perfectvape.com/smoktech-procolor-mod-only/
joyetech-evic-primo-kit-with-unimax-25,Joyetech eVic Primo Kit with Unimax 25,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/joyetech-evic-primo-kit-with-unimax-25/
wismec-rx75-mod-kit,Wismec Rx75 Mod Kit,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/wismec-rx75-mod-kit/
horizon-arctic-turbo-clapton-coils,Horizon Arctic Turbo Clapton Coils,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/horizon-arctic-turbo-clapton-coils/
horizon-arctic-turbo-coils,Horizon Arctic Turbo Coils - 5 Pack,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/horizon-arctic-turbo-coils/
horizon-arctic-turbo-tank,Horizon Arctic Turbo Tank - Top Turbine Cooling System,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/horizon-arctic-turbo-tank/
sigelei-50w-vr2-box-mod,Sigelei 50W VR2 Box Mod,True,False,False,False,True,False,False,False,False,False,False,https://perfectvape.com/sigelei-50w-vr2-box-mod/
eleaf-digital-ohmmeter-voltmeter,Eleaf Digital Ohmmeter & Voltmeter,True,False,False,False,True,False,False,False,False,False,False,https://perfectvape.com/eleaf-digital-ohmmeter-voltmeter/
bora-tfn-salt-30ml,Bora TFN Salt 30ml,False,False,False,False,False,True,False,False,False,False,False,https://perfectvape.com/bora-tfn-salt-30ml/
juice-head-pouches-5pk-pre-priced,Juice Head Pouches 5pk PRE-PRICED,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/juice-head-pouches-5pk-pre-priced/
capella-flavors-silverline-concentrate,Capella Flavors - SilverLine Concentrate,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/capella-flavors-silverline-concentrate/
sharpstone-vsg2-5-glass-top-4-piece-grinder,Sharpstone VSG2.5 Glass Top 4-Piece Grinder,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/sharpstone-vsg2-5-glass-top-4-piece-grinder/
sharpstone-vsg2-2-glass-top-4-piece-grinder,Sharpstone VSG2.2 Glass Top 4-Piece Grinder,False,False,False,False,False,False,False,False,False,False,False,https://perfectvape.com/sharpstone-vsg2-2-glass-top-4-piece-grinder/
