tag,title,display_type,color_display,touch_screen,curved_screen,battery_indicator,eliquid_indicator,smart_display,digital_display,hd_display,animated,backlit,link
geekvape-z200-kit,Geekvape Z200 Kit,False,False,False,False,True,False,False,False,False,False,False,https://vape.com/products/geekvape-z200-kit
smok-rpm-100w-kit,SMOK RPM 100W Kit,True,False,False,False,True,True,False,False,False,False,False,https://vape.com/products/smok-rpm-100w-kit
geekvape-aegis-hero-kit,Geekvape Aegis Hero Pod Mod Starter Kit,True,False,False,False,True,False,False,False,False,False,False,https://vape.com/products/geekvape-aegis-hero-kit
lost-vape-thelema-mini-kit-45w-ub-lite-pod-tank,Lost Vape Thelema Mini Kit 45W (UB Lite Pod Tank),False,False,False,False,True,False,False,False,False,False,False,https://vape.com/products/lost-vape-thelema-mini-kit-45w-ub-lite-pod-tank
horizon-durandal-kit-85w,Horizon Durandal Kit | 85w,True,False,False,False,True,True,False,False,False,False,False,https://vape.com/products/horizon-durandal-kit-85w
lost-vape-thelema-quest-200w-kit,Lost Vape Thelema Quest 200W Kit,True,False,False,False,True,False,False,False,False,False,False,https://vape.com/products/lost-vape-thelema-quest-200w-kit
voopoo-argus-mt-kit,Voopoo Argus MT Kit,False,False,False,False,True,False,False,False,False,False,False,https://vape.com/products/voopoo-argus-mt-kit
geekvape-aegis-hero-kit-rip-trippers-edition-45w,Geekvape Aegis Hero Kit  | Rip Trippers Edition | 45w,True,False,False,False,True,True,False,False,False,False,False,https://vape.com/products/geekvape-aegis-hero-kit-rip-trippers-edition-45w
vaporesso-gtx-go-40-kit-40w,Vaporesso GTX GO 40 Kit 40w,False,False,False,False,True,True,False,False,False,False,False,https://vape.com/products/vaporesso-gtx-go-40-kit-40w
lost-vape-thelema-solo-100w-kit,Lost Vape Thelema Solo 100W Kit,True,False,False,False,True,False,False,False,False,False,False,https://vape.com/products/lost-vape-thelema-solo-100w-kit
uwell-valyrian-3-kit-200w,Uwell Valyrian 3 Kit | 200W,True,False,False,False,True,True,False,False,False,False,False,https://vape.com/products/uwell-valyrian-3-kit-200w
vaporesso-gen-200-s-kit-w-itank-2-edition,Vaporesso Gen 200 S Kit w/ iTank 2 Edition,True,False,False,False,True,False,False,False,False,False,False,https://vape.com/products/vaporesso-gen-200-s-kit-w-itank-2-edition
voopoo-argus-pro-pod-mod-kit-80w,VooPoo Argus Pro Pod Mod Kit 80w,True,False,False,False,True,False,True,False,False,False,False,https://vape.com/products/voopoo-argus-pro-pod-mod-kit-80w
geekvape-digiflavor-xp-77w-kit,Geekvape Digiflavor XP 77w Kit,True,False,False,False,True,False,False,False,False,False,False,https://vape.com/products/geekvape-digiflavor-xp-77w-kit
geekvape-m100-aegis-mini-2-kit-100w,Geekvape M100 Aegis Mini 2 Kit | 100w,False,False,False,False,True,False,False,False,False,False,False,https://vape.com/products/geekvape-m100-aegis-mini-2-kit-100w
freemax-marvos-kit-60w,Freemax Marvos Kit | 60w,True,False,False,False,True,False,True,False,False,False,False,https://vape.com/products/freemax-marvos-kit-60w
smok-rigel-kit-230w,SMOK Rigel Kit 230w,True,False,False,False,True,False,True,False,False,False,False,https://vape.com/products/smok-rigel-kit-230w
smok-scar-18-starter-kit-230w-tfv18-tank-edition,SMOK Scar 18 Starter Kit 230w | TFV18 Tank Edition,True,False,False,False,True,False,False,False,False,False,False,https://vape.com/products/smok-scar-18-starter-kit-230w-tfv18-tank-edition
voopoo-drag-s-pod-mod-kit-60w,VooPoo Drag S Pod Mod Kit 60w,True,False,False,False,True,True,True,False,False,False,False,https://vape.com/products/voopoo-drag-s-pod-mod-kit-60w
voopoo-argus-xt-kit,Voopoo Argus XT Kit,False,False,False,False,True,False,False,False,False,False,False,https://vape.com/products/voopoo-argus-xt-kit
