tag,main_brand,product,display_type,color_display,touch_screen,curved_screen,battery_indicator,eliquid_indicator,smart_display,digital_display,hd_display,animated,backlit,url
pod-juice-hyde-iq-5000-blue-razz-peach-bears-ice,Pod Juice x Hyde IQ 5000,Blue Razz Peach Bears Ice,True,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/pod-juice-hyde-iq-5000-blue-razz-peach-bears-ice
packspod-5000-biscotti-latte,,Biscotti Latte,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/packspod-5000-biscotti-latte
lost-mary-mo20000-pro-dragon-drink,,Dragon Drink,True,False,False,False,True,False,True,False,False,False,False,https://getpop.co/products/lost-mary-mo20000-pro-dragon-drink
lucy-pouches-espresso,,Espresso,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/lucy-pouches-espresso
handshake-15k-pod-blueberry-watermelon,,Blueberry Watermelon,False,False,False,False,True,False,True,False,False,False,False,https://getpop.co/products/handshake-15k-pod-blueberry-watermelon
fume-infinity-black-ice,Fume Infinity 3500,Black Ice,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/fume-infinity-black-ice
pod-pocket-7500-blue-razz-ice,,Blue Razz Ice,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/pod-pocket-7500-blue-razz-ice
raz-tn9000-dragon-fruit-lemonade-1,,Dragon Fruit Lemonade,False,False,False,False,True,True,False,False,True,False,False,https://getpop.co/products/raz-tn9000-dragon-fruit-lemonade-1
esco-bars-mesh-2500-blue-gummy,Esco Bars Mesh 2500,Blue Gummy,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/esco-bars-mesh-2500-blue-gummy
lost-vape-orion-bar-7500-cool-mint,Lost Vape Orion Bar 7500,Cool Mint,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/lost-vape-orion-bar-7500-cool-mint
pod-mesh-flo-frozen-mango-strawberry,Pod Mesh FLO,Frozen Mango Strawberry,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/pod-mesh-flo-frozen-mango-strawberry
air-bar-nex-6500-banana-frost-1,Air Bar Nex 6500,Banana Frost,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/air-bar-nex-6500-banana-frost-1
7-daze-reds-apple-salt-apple,,Apple,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/7-daze-reds-apple-salt-apple
air-bar-nex-6500-blueberry-ice,Air Bar Nex 6500,Blueberry Ice,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/air-bar-nex-6500-blueberry-ice
hyde-edge-recharge-energize,Hyde,Energize,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/hyde-edge-recharge-energize
air-bar-box-3000-by-nkd100-blueberry-coconut,Air Bar Box 3000,Blueberry Coconut,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/air-bar-box-3000-by-nkd100-blueberry-coconut
raz-tn9000-blueberry-watermelon-1,,Blueberry Watermelon,False,False,False,False,True,True,False,False,True,False,False,https://getpop.co/products/raz-tn9000-blueberry-watermelon-1
packspod-5000-frozen-snow-cone-1,,Frozen Snow Cone,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/packspod-5000-frozen-snow-cone-1
air-bar-nex-6500-blueberry-watermelon-1,Air Bar Nex 6500,Blueberry Watermelon,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/air-bar-nex-6500-blueberry-watermelon-1
pod-5500-arctic-lush,Pod 5500,Arctic Lush,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/pod-5500-arctic-lush
kado-bar-kb10000-frozen-mango,,Frozen Mango,True,False,False,False,True,True,True,False,False,False,False,https://getpop.co/products/kado-bar-kb10000-frozen-mango
air-bar-box-3000-apple-raspberry,Air Bar Box 3000,Apple Raspberry,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/air-bar-box-3000-apple-raspberry
pop-hit-solo-5500-chilled-blue-raz,Pop HIT Solo 5500,Chilled Blue Raz,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/pop-hit-solo-5500-chilled-blue-raz
fume-ultra-bubblegum,Fume Ultra 2500,Bubblegum,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/fume-ultra-bubblegum
eb-design-bc5000-blue-cotton-candy,EB Design BC5000,Blue Cotton Candy,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/eb-design-bc5000-blue-cotton-candy
flum-float-3000-blue-raspberry-ice,Flum Float 3000,Blue Raspberry Ice,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/flum-float-3000-blue-raspberry-ice
tyson-2-0-heavy-weight-7000-frozen-peach,,Frozen Peach,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/tyson-2-0-heavy-weight-7000-frozen-peach
squid-1600-blue-razz,Squid 1.6K,Blue Razz,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/squid-1600-blue-razz
elf-bar-bc5000-cranberry-grape,Elf Bar BC5000,Cranberry Grape,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/elf-bar-bc5000-cranberry-grape
esco-bars-mesh-2500-apple-melons-ice,Esco Bars Mesh 2500,Apple Melons Ice,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/esco-bars-mesh-2500-apple-melons-ice
modus-x-kado-bar-kb10000-cannoli,,Cannoli,True,False,False,False,True,True,True,False,False,False,False,https://getpop.co/products/modus-x-kado-bar-kb10000-cannoli
elf-bar-pod-king-xc5000-banana-drop,Elf Bar x Pod King XC5000,Banana Drop,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/elf-bar-pod-king-xc5000-banana-drop
hqd-cuvie-plus-cantaloupe,HQD Cuvie Plus,Cantaloupe,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/hqd-cuvie-plus-cantaloupe
esco-bars-mesh-2500-berry-strawberry-ice,Esco Bars Mesh 2500,Berry Strawberry Ice,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/esco-bars-mesh-2500-berry-strawberry-ice
lost-vape-orion-bar-7500-blackcurrant-mixed-berry,Lost Vape Orion Bar 7500,Blackcurrant Mixed Berry,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/lost-vape-orion-bar-7500-blackcurrant-mixed-berry
handshake-15k-pod-blue-raspberry,,Blue Raspberry,False,False,False,False,True,False,True,False,False,False,False,https://getpop.co/products/handshake-15k-pod-blue-raspberry
handshake-15k-pod-cherry-lemon,,Cherry Lemon,False,False,False,False,True,False,True,False,False,False,False,https://getpop.co/products/handshake-15k-pod-cherry-lemon
hqd-cuvie-plus-2-0-colombian-coffee-ice,HQD Cuvie Plus,Colombian Coffee Ice,True,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/hqd-cuvie-plus-2-0-colombian-coffee-ice
north-ft12000-blue-razz,,Blue Razz,True,False,False,False,True,True,True,False,False,False,False,https://getpop.co/products/north-ft12000-blue-razz
pop-hit-flex-3000-blueberry-mint,Pop HIT FLEX 3000,Blueberry Mint,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/pop-hit-flex-3000-blueberry-mint
strio-x-eb-create-xc6500-dragon-fab-king-1,,Dragon Fab King,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/strio-x-eb-create-xc6500-dragon-fab-king-1
geek-bar-meloso-max-9000-berry-trio-ice,,Berry Trio Ice,True,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/geek-bar-meloso-max-9000-berry-trio-ice
lost-mary-mo5000-blue-razz-ice,Lost Mary MO5000,Blue Razz Ice,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/lost-mary-mo5000-blue-razz-ice
smok-spaceman-prism-20k-blue-razz-ice,SMOK,Blue Razz Ice,True,False,False,False,True,True,True,False,False,True,False,https://getpop.co/products/smok-spaceman-prism-20k-blue-razz-ice
lost-mary-mo20000-pro-blue-razz-ice,,Blue Razz Ice,True,False,False,False,True,False,True,False,False,False,False,https://getpop.co/products/lost-mary-mo20000-pro-blue-razz-ice
funky-republic-ti7000-blueberry-duo-ice,,Blueberry Duo Ice,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/funky-republic-ti7000-blueberry-duo-ice
lost-mary-bm5000-fruit-punch,,Fruit Punch 3%,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/lost-mary-bm5000-fruit-punch
rare-mega-5000-mesh-cotton-candy,Rare Mega 5000 Mesh,Cotton Candy,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/rare-mega-5000-mesh-cotton-candy
rare-palm-10000-blueberry-ice-1,,Blueberry Ice,True,False,False,False,True,True,True,False,False,False,False,https://getpop.co/products/rare-palm-10000-blueberry-ice-1
lost-mary-mt15000-turbo-dr-cherry-1,,Dr Cherry,True,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/lost-mary-mt15000-turbo-dr-cherry-1
oxbar-magic-maze-2-fab-fcuks,,Fab Fcuks (Capricorn),False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/oxbar-magic-maze-2-fab-fcuks
foodgod-zero-frose-rose,Foodgod Zero,Frose Rose 0%,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/foodgod-zero-frose-rose
raz-ca6000-frozen-strawberry,,Frozen Strawberry,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/raz-ca6000-frozen-strawberry
air-bar-diamond-500-alaskan-mint-1,Air Bar Diamond 500,Alaskan Mint,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/air-bar-diamond-500-alaskan-mint-1
lost-mary-mo5000-alphonso-mango-ice-1,Lost Mary MO5000,Alphonso Mango Ice,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/lost-mary-mo5000-alphonso-mango-ice-1
kado-bar-vintage-edition-20k-blueberry-rosemint,,Blueberry Rosemint,True,False,False,False,True,False,True,False,False,False,False,https://getpop.co/products/kado-bar-vintage-edition-20k-blueberry-rosemint
handshake-15k-pod-cherry-strazz,,Cherry Strazz,False,False,False,False,True,False,True,False,False,False,False,https://getpop.co/products/handshake-15k-pod-cherry-strazz
lost-mary-mo5000-blackberry-cherry-lemon-1,Lost Mary MO5000,Blackberry Cherry Lemon,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/lost-mary-mo5000-blackberry-cherry-lemon-1
stig-xl-cubano,STIG,Cubano,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/stig-xl-cubano
hyde-edge-rave-recharge-dewberry,Hyde,Dewberry,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/hyde-edge-rave-recharge-dewberry
eb-create-bc5000-thermal-edition-banana-cake-1,,Banana Cake,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/eb-create-bc5000-thermal-edition-banana-cake-1
flum-gio-3000-berry-fusion,Flum GIO 3000,Berry Fusion,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/flum-gio-3000-berry-fusion
lost-mary-os5000-cherry-peach-lemonade,Lost Mary OS5000,Cherry Peach Lemonade,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/lost-mary-os5000-cherry-peach-lemonade
hqd-cuvie-air-black-ice,HQD Cuvie,Black Ice,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/hqd-cuvie-air-black-ice
air-bar-atron-5000-clear,,Clear,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/air-bar-atron-5000-clear
geek-bar-meloso-max-9000-columbian-coffee-ice,,Columbian Coffee Ice,True,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/geek-bar-meloso-max-9000-columbian-coffee-ice
geek-bar-pulse-15000-fcuking-fab-1,,Fcuking FAB,True,False,False,False,True,True,True,False,False,False,False,https://getpop.co/products/geek-bar-pulse-15000-fcuking-fab-1
hqd-cuvie-bar-7000-dessert-breeze,HQD Cuvie Bar 7000,Dessert Breeze (Blueberry Mint),False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/hqd-cuvie-bar-7000-dessert-breeze
kado-bar-kb10000-cherry-banana,,Cherry Banana,True,False,False,False,True,True,True,False,False,False,False,https://getpop.co/products/kado-bar-kb10000-cherry-banana
monster-bars-max-banana-ice,Monster Bars Max 6000,Banana Ice,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/monster-bars-max-banana-ice
friobar-db7000-fruit-punch,,Fruit Punch,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/friobar-db7000-fruit-punch
fume-infinity-banana-ice,Fume Infinity 3500,Banana Ice,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/fume-infinity-banana-ice
pod-juice-salt-cookies-and-cream,Pod Juice Salt,Cookies and Cream,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/pod-juice-salt-cookies-and-cream
pod-mesh-flo-frozen-blue-razz,Pod Mesh FLO,Frozen Blue Razz,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/pod-mesh-flo-frozen-blue-razz
block-6000-cherry-lemon,Block 6000,Cherry Lemon,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/block-6000-cherry-lemon
kado-bar-pod-king-pk5000-bubblegum-gummy-bear,,Bubblegum Gummy Bear,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/kado-bar-pod-king-pk5000-bubblegum-gummy-bear
lost-mary-mt15000-turbo-baja-splash-1,,Baja Splash,True,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/lost-mary-mt15000-turbo-baja-splash-1
hqd-cuvie-plus-fresh-berries,HQD Cuvie Plus,Fresh Berries,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/hqd-cuvie-plus-fresh-berries
lost-mary-os5000-blue-trio,Lost Mary OS5000,Blue Trio (Blueberry Raspberry Pomegranate),False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/lost-mary-os5000-blue-trio
hqd-cuvie-plus-apple-cinna-and-milk,HQD Cuvie Plus,Apple Cinna and Milk,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/hqd-cuvie-plus-apple-cinna-and-milk
caliburn-a2-pods-1-2-ohm-4-pack,UWELL,Caliburn A2 Pods (1.2-ohm),False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/caliburn-a2-pods-1-2-ohm-4-pack
geek-bar-skyview-25k-blue-razz-ice,,Blue Razz Ice,True,False,False,False,True,True,True,False,False,False,False,https://getpop.co/products/geek-bar-skyview-25k-blue-razz-ice
lost-vape-orion-bar-7500-cherry-love,Lost Vape Orion Bar 7500,Cherry Love,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/lost-vape-orion-bar-7500-cherry-love
air-bar-box-3000-by-nkd100-apple,Air Bar Box 3000,Apple,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/air-bar-box-3000-by-nkd100-apple
eb-design-bc5000-blueberry-tobacco,EB Design BC5000,Blueberry Tobacco,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/eb-design-bc5000-blueberry-tobacco
tyson-round-2-banana-nut,,Banana Nut,True,False,False,False,True,True,True,False,False,False,False,https://getpop.co/products/tyson-round-2-banana-nut
lost-mary-mt15000-turbo-berry-burst-1,,Berry Burst (Thermal Edition),True,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/lost-mary-mt15000-turbo-berry-burst-1
fume-unlimited-7000-apple-peach,Fume Unlimited 7000,Apple Peach,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/fume-unlimited-7000-apple-peach
fire-zero-5000-blue-razz-lemon,,Blue Razz Lemon 0%,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/fire-zero-5000-blue-razz-lemon
kado-bar-br5000-blackcurrant-strawberry-freeze,Kado Bar BR5000,Blackcurrant Strawberry Freeze,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/kado-bar-br5000-blackcurrant-strawberry-freeze
air-bar-ab5000-berries-blast-1,,Berries Blast,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/air-bar-ab5000-berries-blast-1
lost-vape-orion-bar-7500-chicago-cocktail,Lost Vape Orion Bar 7500,Chicago Cocktail (Cherry Lemon),False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/lost-vape-orion-bar-7500-chicago-cocktail
kado-bar-pod-king-pk5000-blue-razz-fcuking-fab,,Blue Razz Fcuking Fab,False,False,False,False,True,False,False,False,False,False,False,https://getpop.co/products/kado-bar-pod-king-pk5000-blue-razz-fcuking-fab
vgod-pod-4k-r-cubano,VGOD Pod 4K-R,Cubano,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/vgod-pod-4k-r-cubano
foodgod-zero-crystal-lychee,Foodgod Zero,Crystal Lychee 0%,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/foodgod-zero-crystal-lychee
pop-hit-salt-blue-raspberry,Pop Hit Salt,Blue Raspberry,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/pop-hit-salt-blue-raspberry
pod-juice-salt-cotton-clouds,Pod Juice Salt,Cotton Clouds / Cotton Carnival,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/pod-juice-salt-cotton-clouds
pop-hit-solo-5500-classic-tobacco,Pop HIT Solo 5500,Classic Tobacco,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/pop-hit-solo-5500-classic-tobacco
geek-bar-pulse-15000-blow-pop-1,,B-Pop / Blow Pop,True,False,False,False,True,True,True,False,False,False,False,https://getpop.co/products/geek-bar-pulse-15000-blow-pop-1
raz-tn9000-black-cherry-peach,,Black Cherry Peach,False,False,False,False,True,True,False,False,True,False,False,https://getpop.co/products/raz-tn9000-black-cherry-peach
fume-ultra-fresh-vanilla,Fume Ultra 2500,Fresh Vanilla,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/fume-ultra-fresh-vanilla
rabbeats-rc10000-touch-dragon-strawnana,,Dragon Strawnana,True,False,True,False,True,True,True,False,False,False,False,https://getpop.co/products/rabbeats-rc10000-touch-dragon-strawnana
block-6000-blue-razz-ice,Block 6000,Blue Razz Ice,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/block-6000-blue-razz-ice
the-milk-salt-berry-crunch-milk,,Berry Crunch Milk,False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/the-milk-salt-berry-crunch-milk
lost-mary-mt15000-turbo-blue-razz-dragonfruit,,Blue Razz Dragonfruit,True,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/lost-mary-mt15000-turbo-blue-razz-dragonfruit
hqd-cuvie-bar-7000-blueberry-raspberry,HQD Cuvie Bar 7000,Blueberry Raspberry,False,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/hqd-cuvie-bar-7000-blueberry-raspberry
elf-bar-bc5000-crazi-berry,Elf Bar BC5000,Crazi Berry,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/elf-bar-bc5000-crazi-berry
digiflavor-x-geek-bar-lush-20k-blueberry-fab,,Blueberry Fab,True,False,False,False,True,False,True,False,False,False,False,https://getpop.co/products/digiflavor-x-geek-bar-lush-20k-blueberry-fab
hyde-n-bar-mini-blue-razz-ice,Hyde N-Bar Mini 2500,Blue Razz Ice,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/hyde-n-bar-mini-blue-razz-ice
pod-mesh-flo-aloe-grape,Pod Mesh FLO,Aloe Grape (Ice),False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/pod-mesh-flo-aloe-grape
hqd-cuvie-plus-2-0-black-dragon,HQD Cuvie Plus,Black Dragon,True,False,False,False,True,True,False,False,False,False,False,https://getpop.co/products/hqd-cuvie-plus-2-0-black-dragon
uwell-caliburn-a2-grey,UWELL,Caliburn A2 (Grey),False,False,False,False,False,True,False,False,False,False,False,https://getpop.co/products/uwell-caliburn-a2-grey
kado-bar-pouches-blue-razz-lemon-mint,,Blue Razz Lemon Mint,False,False,False,False,False,False,False,False,False,False,False,https://getpop.co/products/kado-bar-pouches-blue-razz-lemon-mint
tyson-round-2-apple-gummies,,Apple Gummies,True,False,False,False,True,True,True,False,False,False,False,https://getpop.co/products/tyson-round-2-apple-gummies
