title,brand,product,price,description,bottle_capacity,vg,pg,formulation,made_in,url
MOTHER'S MILK AND COOKIES - SUICIDE BUNNY SALTS - 30ML,SUICIDE BUNNY,MOTHER'S MILK AND COOKIES - SUICIDE BUNNY SALTS - 30ML,$10.99,"Shop Mother's Milk and Cookies by Suicide Bunny Salts, a nicotine salt blend of sweet creamy milk coupled with delicious cookie flavors for a tantalizing eJuice.
MOTHER'S MILK AND COOKIES - SUICIDE BUNNY SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 Moither's Milk and Cookies - Suicide Bunny Salts - 30mL
AVAILABLE OPTIONS:
• 20mg
• 40mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/mothers-milk-and-cookies-suicide-bunny-salts
MANGO - JAM MONSTER LIQUID - 100ML,FIND BRAND,MANGO - JAM MONSTER LIQUID - 100ML,$13.99,"Shop Mango by Jam Monster Liquids, captivating the taste buds with sweet mango jam spread over freshly toasted bread in freebase eliquid form.
MANGO - JAM MONSTER LIQUID - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/mango-jam-monster
GLAZED DONUT BLUEBERRY - POD JUICE - 100ML,POD JUICE,GLAZED DONUT BLUEBERRY - POD JUICE - 100ML,$13.99,"Check out Glazed Donut Blueberry by Pod Juice, capturing a blend of freshly baked donuts sprinkled with sweet decadent blueberries bursting with flavor.
GLAZED DONUT BLUEBERRY - POD JUICE - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
• 12mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/glazed-donut-blueberry-pod-juice
FRIED BANANA - HUMBLE SALTS - 30ML,FIND BRAND,FRIED BANANA - HUMBLE SALTS - 30ML,$10.99,"Shop Fried Banana by Humble Salts, mixing notes of crispy fried bananas paired with donuts topped with cinnamon sugar to create a delicious dessert vape.
FRIED BANANA - HUMBLE SALTS - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 48mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",30mL,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/fried-banana-humble-salts
STRAWNANA - THE PANCAKE HOUSE - GOST VAPOR - 100ML,FIND BRAND,STRAWNANA - THE PANCAKE HOUSE - GOST VAPOR - 100ML,$12.99,"Shop Strawnana by The Pancake House, capturing the flavor of sweet sliced strawberries and ripened bananas topped over a stack of fluffy pancakes.
STRAWNANA - THE PANCAKE HOUSE - GOST VAPOR - 100ML FEATURES:
• BOTTLE CAPACITY: 100mL
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 100mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm.",100mL,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/strawnana-gost-vapor
RASPBERRY GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML,FIND BRAND,RASPBERRY GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML,$10.99,"Check out Raspberry Granola Bar by Yogi Salts, capturing the flavor of raspberries sprinkled throughout a crunchy granola bar inside a nicotine salt blend.
RASPBERRY GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/raspberry-granola-bar-yogi-salts
RASPBERRY GRANOLA BAR - YOGI E-LIQUID - 60ML,FIND BRAND,RASPBERRY GRANOLA BAR - YOGI E-LIQUID - 60ML,$11.99,"Shop Raspberry Granola Bar by Yogi E-Liquid, featuring notes of vibrant raspberries jam-packed into a crispy crunchy granola bar made with oats.
RASPBERRY GRANOLA BAR - YOGI E-LIQUID - 60ML FEATURES:
• BOTTLE CAPACITY: 60mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 60mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",60mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/raspberry-granola-bar-yogi
CITRUS GRANOLA BAR - YOGI E-LIQUID - 60ML,FIND BRAND,CITRUS GRANOLA BAR - YOGI E-LIQUID - 60ML,$11.99,"Shop Citrus Granola Bar by Yogi, captivating the taste buds with citrus fruits baked into a granola bar that entices the taste buds with delicious flavor.
CITRUS GRANOLA BAR - YOGI E-LIQUID - 60ML FEATURES:
• BOTTLE CAPACITY: 60mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 60mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",60mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,https://www.elementvape.com/citrus-granola-bar-yogi
GRAPE JAM GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML,FIND BRAND,GRAPE JAM GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML,$10.99,"Discover the Grape Jam Granola Bar by Yogi Salts, mixing notes of grape jam smeared on a crunchy granola bar in a flavorful nicotine salt infusion.
GRAPE JAM GRANOLA BAR - YOGI SALTS E-LIQUID - 30ML FEATURES:
• BOTTLE CAPACITY: 30mL Unicorn Bottle
• VG: 50%
• PG: 50%
• FORMULATION: Nicotine Salts
• MADE IN: USA
INCLUDES:
• 1 30mL Unicorn Bottle
AVAILABLE OPTIONS:
• 35mg
• 50mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",30mL Unicorn Bottle,50%,50%,Nicotine Salts,USA,https://www.elementvape.com/grape-jam-granola-bar-yogi-salts
GRAPE JAM GRANOLA BAR - YOGI E-LIQUID - 60ML,FIND BRAND,GRAPE JAM GRANOLA BAR - YOGI E-LIQUID - 60ML,$11.99,"Check out Grape Jam Granola Bar by Yogi, taking an artisanal grape jam mixed into a granola bar that will leave the taste buds wanting more.
GRAPE JAM GRANOLA BAR - YOGI E-LIQUID - 60ML FEATURES:
• BOTTLE CAPACITY: 60mL Unicorn Bottle
• VG: 70%
• PG: 30%
• FORMULATION: Freebase Nicotine
• MADE IN: USA
INCLUDES:
• 1 60mL Unicorn Bottle
AVAILABLE OPTIONS:
• 0mg
• 3mg
• 6mg
CALIFORNIA PROPOSITION 65 - Warning: This product contains nicotine, a chemical known to the state of California to cause birth defects or other reproductive harm. ",60mL Unicorn Bottle,70%,30%,Freebase Nicotine,USA,//www.elementvape.com/grape-jam-granola-bar-yogi
